Incidence and mortality trends by age
"10 registries, Both sexes, 6 cancers, All ages, by 30 year age groups"
"Indicator","Registry","Sex","Cancer","Age group",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
"Incidence","DE North Rhine-Westphalia","Male","Leukaemia","0-29","","",6.0,2.4,3.1,3.8,3.8,4.9,4.1,3.7,3.9,5.0,4.0,4.6,4.1,3.4,4.3,4.1,4.8,3.6,3.1,
"Incidence","DE North Rhine-Westphalia","Male","Thyroid gland","60+","","",6.7,4.6,2.7,5.7,4.2,4.1,5.6,4.3,3.9,3.8,5.7,5.6,8.7,8.7,8.2,7.6,8.9,9.1,9.4,
"Incidence","DE North Rhine-Westphalia","Male","Thyroid gland","30-59","","",1.3,0.9,1.8,2.0,1.8,2.3,2.0,2.7,2.1,2.5,3.0,3.7,4.9,5.9,5.6,5.7,6.8,6.6,6.8,
"Incidence","DE North Rhine-Westphalia","Male","Thyroid gland","0-29","","",0.2,0.0,0.0,0.4,0.2,0.4,0.7,0.9,0.4,1.3,1.8,0.4,0.6,0.7,0.7,1.0,1.1,1.2,1.1,
"Incidence","DE North Rhine-Westphalia","Male","Melanoma of the skin","60+","","",25.3,19.0,21.2,17.9,24.4,28.9,34.9,34.9,30.1,38.9,39.7,39.2,50.4,62.6,71.6,70.1,79.4,81.0,75.7,
"Incidence","DE North Rhine-Westphalia","Male","Melanoma of the skin","30-59","","",10.3,6.9,7.5,15.6,11.1,11.4,11.4,11.7,9.1,13.7,11.5,11.4,14.2,20.3,21.8,21.1,23.8,24.1,21.6,
"Incidence","DE North Rhine-Westphalia","Male","Melanoma of the skin","0-29","","",0.8,1.8,1.0,1.5,2.1,1.5,1.3,3.3,2.2,0.7,2.0,1.5,2.1,2.8,3.0,3.2,3.6,3.2,3.5,
"Incidence","DE North Rhine-Westphalia","Male","Lung","60+","","",400.6,395.2,398.5,393.4,379.5,385.5,415.1,380.6,370.5,383.7,391.9,401.6,376.5,381.2,367.8,363.1,377.5,370.5,355.7,
"Incidence","DE North Rhine-Westphalia","Male","Lung","30-59","","",54.8,44.3,54.1,46.3,45.4,44.9,50.2,43.8,42.3,47.6,50.9,47.8,45.7,44.8,45.8,45.8,47.4,45.9,45.5,
"Incidence","DE North Rhine-Westphalia","Male","Lung","0-29","","",0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.2,0.0,0.0,0.2,0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.3,
"Incidence","DE North Rhine-Westphalia","Male","Pancreas","60+","","",56.3,63.5,62.1,57.1,76.2,56.2,68.3,70.9,55.3,69.5,61.5,68.2,67.3,68.4,70.5,67.6,73.7,69.8,72.6,
"Incidence","DE North Rhine-Westphalia","Male","Pancreas","30-59","","",6.6,5.5,6.5,7.7,7.3,9.4,8.0,11.5,7.8,5.9,7.4,7.4,8.2,8.4,7.8,7.3,8.2,8.5,7.7,
"Incidence","DE North Rhine-Westphalia","Male","Pancreas","0-29","","",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,
"Incidence","DE North Rhine-Westphalia","Male","Stomach","60+","","",113.0,112.2,93.7,107.2,106.5,96.2,105.6,104.9,83.1,91.3,92.8,86.7,88.5,94.5,84.1,83.8,85.6,79.2,74.3,
"Incidence","DE North Rhine-Westphalia","Male","Stomach","30-59","","",12.0,11.8,9.7,12.2,12.1,11.2,13.7,9.8,10.1,9.9,13.1,10.7,10.7,11.4,10.9,10.5,11.9,11.6,10.7,
"Incidence","DE North Rhine-Westphalia","Male","Stomach","0-29","","",0.6,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.3,0.1,0.3,0.3,0.1,0.3,0.1,0.2,
"Incidence","DE North Rhine-Westphalia","Female","Leukaemia","60+","","",39.8,30.2,34.0,36.7,35.4,34.0,33.5,26.3,27.3,28.1,34.0,31.5,30.6,33.8,31.8,30.7,34.9,33.1,29.4,
"Incidence","DE North Rhine-Westphalia","Female","Leukaemia","30-59","","",5.5,4.3,4.4,5.3,3.7,4.2,4.9,5.8,4.9,4.3,7.5,5.5,4.8,4.9,5.7,4.5,6.6,5.3,5.4,
"Incidence","DE North Rhine-Westphalia","Female","Leukaemia","0-29","","",2.5,2.1,2.6,2.9,4.0,5.2,2.9,3.9,3.6,5.5,3.9,3.5,2.8,3.1,2.9,3.4,3.9,2.8,2.5,
"Incidence","DE North Rhine-Westphalia","Female","Thyroid gland","60+","","",8.5,8.1,8.0,5.7,9.7,8.7,9.5,8.9,7.1,11.9,8.6,9.7,11.0,12.7,11.1,12.4,15.8,13.4,12.1,
"Incidence","DE North Rhine-Westphalia","Female","Thyroid gland","30-59","","",3.6,4.1,4.1,5.3,3.5,6.2,7.1,6.0,7.8,6.5,8.4,8.9,12.4,15.2,14.3,14.0,20.0,15.2,15.9,
"Incidence","DE North Rhine-Westphalia","Female","Thyroid gland","0-29","","",1.1,0.8,1.5,1.3,0.7,0.7,1.1,2.3,0.7,1.6,1.6,2.1,2.3,2.7,2.9,2.8,3.4,4.0,4.0,
"Incidence","DE North Rhine-Westphalia","Female","Melanoma of the skin","60+","","",18.0,18.1,16.9,19.0,24.2,18.6,21.2,22.6,27.1,19.0,27.7,25.1,33.9,39.1,43.7,41.4,44.7,47.1,47.2,
"Incidence","DE North Rhine-Westphalia","Female","Melanoma of the skin","30-59","","",10.8,9.3,12.2,14.1,15.9,17.3,19.4,18.8,18.0,17.6,22.2,15.6,23.0,29.4,35.3,32.1,34.7,37.1,34.7,
"Incidence","DE North Rhine-Westphalia","Female","Melanoma of the skin","0-29","","",5.9,3.6,3.0,4.4,4.9,6.7,5.9,5.4,5.0,5.3,4.8,3.1,4.3,6.8,7.4,7.7,7.7,7.8,7.9,
"Incidence","DE North Rhine-Westphalia","Female","Lung","60+","","",65.7,72.3,73.6,73.2,72.0,75.2,86.9,93.7,99.1,88.0,103.0,121.5,123.8,124.9,129.9,138.3,142.4,147.7,150.5,
"Incidence","DE North Rhine-Westphalia","Female","Lung","30-59","","",14.0,17.0,14.2,13.8,15.9,21.2,18.9,19.7,23.5,27.9,26.5,32.7,31.1,33.4,32.9,33.2,35.0,36.2,34.9,
"Incidence","DE North Rhine-Westphalia","Female","Lung","0-29","","",0.2,0.0,0.4,0.2,0.0,0.5,0.0,0.5,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.4,0.2,
"Incidence","DE North Rhine-Westphalia","Female","Pancreas","60+","","",44.3,48.6,47.2,53.0,55.2,57.8,53.6,50.6,51.3,54.8,57.4,59.5,61.2,59.6,62.1,60.0,62.7,60.3,58.6,
"Incidence","DE North Rhine-Westphalia","Female","Pancreas","30-59","","",3.6,5.0,3.5,4.8,4.8,3.8,3.5,3.4,2.5,4.0,4.7,4.9,5.1,6.2,5.5,5.4,5.8,5.7,5.9,
"Incidence","DE North Rhine-Westphalia","Female","Pancreas","0-29","","",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,
"Incidence","DE North Rhine-Westphalia","Female","Stomach","60+","","",74.6,64.5,64.7,62.9,61.7,66.2,56.2,57.4,57.0,54.2,52.8,52.7,50.5,51.5,49.0,49.8,44.8,44.8,43.0,
"Incidence","DE North Rhine-Westphalia","Female","Stomach","30-59","","",8.1,6.7,5.5,8.3,7.9,6.2,8.4,7.4,4.9,5.6,7.3,5.8,6.4,6.3,5.6,6.3,6.7,6.8,6.4,
"Incidence","DE North Rhine-Westphalia","Female","Stomach","0-29","","",0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3,0.1,0.1,0.2,0.1,0.2,0.2,0.3,
"Incidence","DE Rhineland-Palatinate","Male","Leukaemia","60+","","","","","",54.3,49.4,56.2,54.9,53.3,48.2,46.5,59.2,56.1,53.5,46.4,55.5,52.3,52.9,42.3,"",
"Incidence","DE Rhineland-Palatinate","Male","Leukaemia","30-59","","","","","",6.4,6.4,8.1,6.0,6.2,6.1,7.3,6.4,7.9,7.3,6.4,7.3,7.7,6.5,4.7,"",
"Incidence","DE Rhineland-Palatinate","Male","Leukaemia","0-29","","","","","",4.1,3.9,5.0,3.7,2.8,5.0,3.5,3.2,3.9,3.4,4.6,2.3,3.8,4.3,2.4,"",
"Incidence","DE Rhineland-Palatinate","Male","Thyroid gland","60+","","","","","",7.0,8.3,6.0,6.5,6.6,7.7,5.8,7.0,6.8,4.1,6.1,6.4,6.1,7.2,8.3,"",
"Incidence","DE Rhineland-Palatinate","Male","Thyroid gland","30-59","","","","","",1.9,3.4,3.5,3.2,2.5,3.0,3.4,3.7,3.1,3.4,4.7,5.2,4.1,3.8,4.3,"",
"Incidence","DE Rhineland-Palatinate","Male","Thyroid gland","0-29","","","","","",0.3,0.1,0.4,1.2,0.3,0.1,0.6,0.6,0.8,0.6,0.8,0.3,0.2,0.8,0.5,"",
"Incidence","DE Rhineland-Palatinate","Male","Melanoma of the skin","60+","","","","","",36.6,36.2,41.5,40.6,47.2,55.7,50.7,61.9,63.8,53.5,87.5,88.1,79.3,76.0,83.2,"",
"Incidence","DE Rhineland-Palatinate","Male","Melanoma of the skin","30-59","","","","","",9.5,11.7,14.3,13.8,16.7,15.0,14.0,17.9,17.4,19.9,23.9,24.5,23.1,23.4,23.3,"",
"Incidence","DE Rhineland-Palatinate","Male","Melanoma of the skin","0-29","","","","","",1.3,0.7,1.8,1.5,1.9,1.8,0.8,2.1,1.8,2.0,2.5,2.3,1.3,1.9,2.6,"",
"Incidence","DE Rhineland-Palatinate","Male","Lung","60+","","","","","",320.8,328.2,338.9,329.9,317.7,305.5,303.9,302.2,294.5,295.9,310.5,288.6,279.0,285.8,265.5,"",
"Incidence","DE Rhineland-Palatinate","Male","Lung","30-59","","","","","",42.7,37.9,36.6,35.0,34.3,34.1,36.1,38.2,40.3,36.8,33.0,32.0,38.8,35.3,33.4,"",
"Incidence","DE Rhineland-Palatinate","Male","Lung","0-29","","","","","",0.1,0.1,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,"",
"Incidence","DE Rhineland-Palatinate","Male","Pancreas","60+","","","","","",59.6,61.6,54.7,60.2,58.5,61.5,55.7,66.7,54.7,60.3,56.1,66.4,59.6,64.5,57.8,"",
"Incidence","DE Rhineland-Palatinate","Male","Pancreas","30-59","","","","","",6.8,6.6,6.2,6.1,5.6,6.2,6.9,6.4,6.8,7.7,5.5,6.4,6.2,8.1,7.1,"",
"Incidence","DE Rhineland-Palatinate","Male","Pancreas","0-29","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,"",
"Incidence","DE Rhineland-Palatinate","Male","Stomach","60+","","","","","",108.3,96.5,82.2,93.1,83.3,78.7,79.2,86.5,79.8,90.8,74.7,71.5,72.0,82.0,61.4,"",
"Incidence","DE Rhineland-Palatinate","Male","Stomach","30-59","","","","","",12.1,9.2,11.1,10.2,9.8,10.7,10.0,8.0,10.0,8.4,11.1,9.0,11.7,11.7,11.0,"",
"Incidence","DE Rhineland-Palatinate","Male","Stomach","0-29","","","","","",0.1,0.3,0.0,0.1,0.1,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,"",
"Incidence","DE Rhineland-Palatinate","Female","Leukaemia","60+","","","","","",28.5,36.0,35.2,33.9,32.0,35.3,38.2,40.7,37.7,26.6,32.7,39.7,32.9,33.6,32.9,"",
"Incidence","DE Rhineland-Palatinate","Female","Leukaemia","30-59","","","","","",4.2,4.2,5.3,5.2,3.5,4.8,3.6,3.6,4.5,4.8,5.4,4.4,4.7,5.2,4.2,"",
"Incidence","DE Rhineland-Palatinate","Female","Leukaemia","0-29","","","","","",2.7,3.3,3.2,2.5,3.4,3.4,2.5,2.7,3.8,2.8,3.8,2.8,2.1,2.5,1.5,"",
"Incidence","DE Rhineland-Palatinate","Female","Thyroid gland","60+","","","","","",12.9,12.7,11.0,8.5,8.1,7.0,12.1,10.1,9.8,10.2,10.9,11.0,7.6,7.2,11.7,"",
"Incidence","DE Rhineland-Palatinate","Female","Thyroid gland","30-59","","","","","",8.1,8.6,7.5,8.0,7.0,6.9,6.7,9.6,9.4,10.2,11.8,11.2,9.3,10.8,12.6,"",
"Incidence","DE Rhineland-Palatinate","Female","Thyroid gland","0-29","","","","","",1.2,1.1,2.1,0.9,1.4,0.9,0.9,1.7,2.8,2.2,3.0,2.3,1.1,2.3,2.5,"",
"Incidence","DE Rhineland-Palatinate","Female","Melanoma of the skin","60+","","","","","",22.0,20.0,27.3,29.1,34.9,34.1,35.1,37.1,41.8,40.8,45.7,47.8,43.2,46.8,46.1,"",
"Incidence","DE Rhineland-Palatinate","Female","Melanoma of the skin","30-59","","","","","",10.7,11.9,16.5,21.3,19.8,21.9,22.7,27.1,24.9,29.1,28.6,30.3,31.3,34.4,34.8,"",
"Incidence","DE Rhineland-Palatinate","Female","Melanoma of the skin","0-29","","","","","",2.7,3.2,3.5,4.3,4.5,5.2,4.1,5.6,4.4,4.9,3.8,3.7,6.4,7.0,7.4,"",
"Incidence","DE Rhineland-Palatinate","Female","Lung","60+","","","","","",64.2,58.2,58.7,69.6,73.6,75.5,75.6,76.8,82.8,95.0,88.7,94.3,97.3,98.4,98.9,"",
"Incidence","DE Rhineland-Palatinate","Female","Lung","30-59","","","","","",12.9,13.0,17.2,18.9,16.3,19.0,23.0,21.3,23.3,23.6,26.3,21.7,25.6,25.8,24.6,"",
"Incidence","DE Rhineland-Palatinate","Female","Lung","0-29","","","","","",0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.3,0.2,0.2,0.5,0.3,0.2,0.3,"",
"Incidence","DE Rhineland-Palatinate","Female","Pancreas","60+","","","","","",47.9,51.8,55.3,55.0,54.6,51.0,55.0,51.5,57.4,56.6,56.0,59.3,61.7,61.7,57.2,"",
"Incidence","DE Rhineland-Palatinate","Female","Pancreas","30-59","","","","","",4.5,2.7,3.5,4.7,3.6,3.2,4.7,4.2,5.2,4.4,4.8,5.3,4.3,4.7,3.7,"",
"Incidence","DE Rhineland-Palatinate","Female","Pancreas","0-29","","","","","",0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,"",
"Incidence","DE Rhineland-Palatinate","Female","Stomach","60+","","","","","",61.4,61.2,60.7,61.6,55.2,53.3,49.1,59.0,48.4,45.7,47.6,42.9,43.3,42.7,42.9,"",
"Incidence","DE Rhineland-Palatinate","Female","Stomach","30-59","","","","","",8.3,6.1,7.2,4.8,5.5,6.0,6.7,6.0,6.5,6.4,6.1,6.4,4.9,5.5,6.2,"",
"Incidence","DE Rhineland-Palatinate","Female","Stomach","0-29","","","","","",0.0,0.1,0.1,0.1,0.2,0.2,0.0,0.2,0.2,0.2,0.3,0.0,0.0,0.0,0.0,"",
"Incidence","DE Saarland","Male","Leukaemia","60+",40.0,53.1,41.4,38.1,41.8,39.7,33.0,37.4,42.5,38.5,40.7,35.4,37.9,46.5,65.0,52.8,49.4,37.9,47.6,56.8,"",
"Incidence","DE Saarland","Male","Leukaemia","30-59",5.5,8.8,9.1,5.4,7.8,9.6,6.3,3.8,8.5,5.1,8.5,5.6,5.6,7.8,7.4,11.9,8.9,9.5,6.4,9.9,"",
"Incidence","DE Saarland","Male","Leukaemia","0-29",2.6,5.2,3.7,6.5,8.9,3.4,5.8,5.9,6.6,3.0,4.3,5.5,2.5,5.0,3.2,4.5,4.5,4.0,2.7,2.1,"",
"Incidence","DE Saarland","Male","Thyroid gland","60+",7.6,2.1,5.2,6.0,5.8,2.8,5.5,7.1,4.3,4.3,2.5,4.2,5.9,5.1,6.8,2.5,5.8,7.3,4.8,2.4,"",
"Incidence","DE Saarland","Male","Thyroid gland","30-59",5.5,2.5,3.3,2.9,2.5,2.1,2.1,5.0,3.0,3.4,1.7,2.6,3.5,3.5,2.6,4.0,5.8,1.8,5.0,2.8,"",
"Incidence","DE Saarland","Male","Thyroid gland","0-29",1.0,0.5,0.5,1.1,0.0,1.1,0.6,0.0,0.0,1.2,1.8,0.6,0.6,1.3,0.6,1.3,1.3,1.3,0.7,0.7,"",
"Incidence","DE Saarland","Male","Melanoma of the skin","60+",17.3,19.1,30.0,18.1,17.5,23.6,29.4,32.0,29.5,38.5,35.6,39.6,37.9,42.2,42.2,68.7,59.3,46.0,47.6,56.8,"",
"Incidence","DE Saarland","Male","Melanoma of the skin","30-59",11.3,8.8,8.7,12.0,7.8,12.1,11.7,12.2,10.2,15.8,12.4,11.2,12.1,13.4,13.5,21.1,16.5,19.0,19.2,14.6,"",
"Incidence","DE Saarland","Male","Melanoma of the skin","0-29",2.0,3.1,3.2,2.7,2.2,3.4,0.6,1.8,1.8,0.6,1.8,1.8,0.0,1.3,0.6,1.9,2.6,2.6,1.3,1.4,"",
"Incidence","DE Saarland","Male","Lung","60+",409.2,397.6,433.5,403.1,408.0,426.1,372.4,365.9,385.1,358.9,365.6,374.8,386.9,429.2,409.7,363.4,394.5,365.6,381.0,365.0,"",
"Incidence","DE Saarland","Male","Lung","30-59",54.1,54.2,58.0,60.8,49.2,51.5,54.8,58.9,47.5,50.2,49.1,48.1,57.5,55.5,62.8,58.9,45.1,63.8,56.6,47.5,"",
"Incidence","DE Saarland","Male","Lung","0-29",1.0,0.0,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,"",
"Incidence","DE Saarland","Male","Pancreas","60+",50.9,47.8,37.2,39.1,43.7,49.1,40.4,50.7,52.0,45.3,55.1,52.2,47.9,62.5,65.0,62.0,77.4,67.0,64.3,59.9,"",
"Incidence","DE Saarland","Male","Pancreas","30-59",4.2,5.8,2.5,7.0,1.2,7.9,9.6,8.8,7.6,9.8,3.8,9.9,7.3,10.0,10.5,11.9,8.9,11.8,6.8,4.7,"",
"Incidence","DE Saarland","Male","Pancreas","0-29",0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,"",
"Incidence","DE Saarland","Male","Stomach","60+",101.8,96.7,104.5,99.3,89.4,93.5,95.4,72.1,78.0,88.0,80.6,84.2,89.2,84.5,72.7,82.9,87.3,79.9,88.1,80.4,"",
"Incidence","DE Saarland","Male","Stomach","30-59",9.7,12.5,12.0,6.6,12.4,13.7,9.6,13.5,14.0,10.6,11.1,10.3,15.6,11.7,10.9,11.4,8.0,9.1,11.0,9.4,"",
"Incidence","DE Saarland","Male","Stomach","0-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,"",
"Incidence","DE Saarland","Female","Leukaemia","60+",25.3,32.1,25.7,21.3,21.0,26.5,21.7,23.9,25.5,21.0,24.1,27.9,36.1,23.3,34.1,30.3,25.1,19.3,30.8,31.0,"",
"Incidence","DE Saarland","Female","Leukaemia","30-59",5.2,7.3,5.6,7.7,3.4,6.0,6.0,3.9,5.2,5.3,3.1,5.3,6.6,4.4,5.3,6.3,7.7,6.4,3.7,7.5,"",
"Incidence","DE Saarland","Female","Leukaemia","0-29",4.4,1.7,1.1,2.9,3.5,1.8,2.4,2.5,1.3,0.6,2.5,3.2,2.6,3.9,3.3,0.7,2.7,7.6,1.4,2.2,"",
"Incidence","DE Saarland","Female","Thyroid gland","60+",10.3,12.3,16.2,8.0,11.2,12.3,13.4,6.9,10.6,7.4,9.3,7.4,6.8,6.3,6.3,14.5,8.8,8.7,9.3,11.8,"",
"Incidence","DE Saarland","Female","Thyroid gland","30-59",11.8,12.1,8.1,3.4,6.0,12.9,8.6,9.1,11.8,11.4,9.7,9.7,9.3,5.8,9.3,8.0,8.1,7.8,15.2,6.5,"",
"Incidence","DE Saarland","Female","Thyroid gland","0-29",1.1,0.6,1.1,0.0,2.9,0.6,0.0,2.5,1.9,1.9,1.3,1.9,1.9,0.7,1.3,1.3,2.7,2.1,2.1,2.9,"",
"Incidence","DE Saarland","Female","Melanoma of the skin","60+",13.0,13.0,16.2,12.0,11.2,19.4,14.0,23.9,16.1,22.9,21.0,26.6,19.3,27.7,25.3,34.8,32.0,32.4,37.0,35.4,"",
"Incidence","DE Saarland","Female","Melanoma of the skin","30-59",12.7,8.6,11.6,13.7,11.5,12.0,13.8,12.1,15.3,15.3,14.0,16.8,15.9,21.3,13.8,25.5,20.3,10.5,19.8,17.7,"",
"Incidence","DE Saarland","Female","Melanoma of the skin","0-29",2.7,2.2,3.4,2.9,3.5,1.8,2.4,2.5,4.4,3.8,3.2,4.5,3.9,0.7,6.6,2.7,3.4,2.8,5.6,2.2,"",
"Incidence","DE Saarland","Female","Lung","60+",58.2,62.8,68.3,62.7,74.8,80.3,89.4,77.4,90.7,85.3,85.4,81.1,106.5,111.9,107.5,117.5,101.8,131.9,128.3,138.4,"",
"Incidence","DE Saarland","Female","Lung","30-59",13.5,21.6,16.3,15.4,20.9,24.0,19.4,25.6,26.2,24.5,32.5,31.3,28.8,28.8,36.0,34.4,34.4,39.3,37.8,39.6,"",
"Incidence","DE Saarland","Female","Lung","0-29",0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.7,"",
"Incidence","DE Saarland","Female","Pancreas","60+",49.3,38.2,51.4,36.0,42.6,55.0,49.8,44.0,50.9,51.3,44.5,52.0,54.2,52.2,63.2,63.2,49.6,53.5,51.2,59.6,"",
"Incidence","DE Saarland","Female","Pancreas","30-59",3.9,3.9,2.6,5.1,4.7,4.3,4.7,3.0,5.7,4.8,3.1,2.6,3.1,6.6,6.2,5.4,6.8,7.8,2.8,4.2,"",
"Incidence","DE Saarland","Female","Pancreas","0-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",
"Incidence","DE Saarland","Female","Stomach","60+",69.1,60.8,58.8,65.3,55.7,64.7,54.3,49.1,52.1,46.3,48.3,61.9,46.7,46.5,50.6,52.5,46.5,43.6,40.1,34.8,"",
"Incidence","DE Saarland","Female","Stomach","30-59",12.2,8.2,5.6,9.8,6.0,5.1,7.8,6.5,4.4,7.0,3.1,5.3,6.6,6.2,7.1,8.0,6.3,5.0,9.7,4.7,"",
"Incidence","DE Saarland","Female","Stomach","0-29",0.6,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,"",
"Incidence","DE Lower Saxony","Male","Leukaemia","60+","","","","","","","","","","",63.8,54.9,59.7,61.2,60.5,62.5,58.6,63.9,64.8,59.6,"",
"Incidence","DE Lower Saxony","Male","Leukaemia","30-59","","","","","","","","","","",7.1,7.4,7.8,9.5,9.0,8.3,10.4,10.5,10.3,9.7,"",
"Incidence","DE Lower Saxony","Male","Leukaemia","0-29","","","","","","","","","","",3.1,3.2,4.4,4.4,3.0,3.9,4.1,5.0,3.9,4.1,"",
"Incidence","DE Lower Saxony","Male","Thyroid gland","60+","","","","","","","","","","",4.0,5.8,6.3,8.2,6.9,5.8,6.8,7.8,7.7,8.7,"",
"Incidence","DE Lower Saxony","Male","Thyroid gland","30-59","","","","","","","","","","",2.7,3.3,3.3,3.4,3.8,4.3,3.8,3.9,4.4,4.8,"",
"Incidence","DE Lower Saxony","Male","Thyroid gland","0-29","","","","","","","","","","",0.8,0.5,0.6,0.4,0.2,1.1,0.5,0.9,0.3,1.1,"",
"Incidence","DE Lower Saxony","Male","Melanoma of the skin","60+","","","","","","","","","","",48.5,53.5,58.1,53.1,58.5,75.1,79.5,69.4,76.2,76.8,"",
"Incidence","DE Lower Saxony","Male","Melanoma of the skin","30-59","","","","","","","","","","",16.3,16.4,16.9,15.7,16.9,21.9,20.5,21.6,22.0,19.4,"",
"Incidence","DE Lower Saxony","Male","Melanoma of the skin","0-29","","","","","","","","","","",1.4,1.8,1.6,2.1,1.5,3.3,2.4,3.1,2.6,1.7,"",
"Incidence","DE Lower Saxony","Male","Lung","60+","","","","","","","","","","",333.1,335.0,331.2,320.7,314.6,321.9,316.6,316.3,292.8,282.5,"",
"Incidence","DE Lower Saxony","Male","Lung","30-59","","","","","","","","","","",40.0,38.5,40.6,40.8,40.8,42.5,41.9,39.4,35.4,33.7,"",
"Incidence","DE Lower Saxony","Male","Lung","0-29","","","","","","","","","","",0.1,0.3,0.2,0.1,0.3,0.1,0.1,0.2,0.2,0.6,"",
"Incidence","DE Lower Saxony","Male","Pancreas","60+","","","","","","","","","","",62.6,62.2,61.5,56.6,70.9,67.3,65.8,66.3,69.8,72.9,"",
"Incidence","DE Lower Saxony","Male","Pancreas","30-59","","","","","","","","","","",7.1,7.2,7.5,7.2,7.1,7.2,8.1,8.2,7.9,8.9,"",
"Incidence","DE Lower Saxony","Male","Pancreas","0-29","","","","","","","","","","",0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.0,0.1,"",
"Incidence","DE Lower Saxony","Male","Stomach","60+","","","","","","","","","","",101.6,97.7,93.6,95.6,89.2,89.0,87.7,89.1,87.7,78.3,"",
"Incidence","DE Lower Saxony","Male","Stomach","30-59","","","","","","","","","","",10.9,10.3,11.1,10.9,10.7,12.2,11.9,10.8,11.8,10.6,"",
"Incidence","DE Lower Saxony","Male","Stomach","0-29","","","","","","","","","","",0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.3,"",
"Incidence","DE Lower Saxony","Female","Leukaemia","60+","","","","","","","","","","",40.8,38.0,44.0,37.1,40.9,40.1,35.9,35.5,38.2,33.5,"",
"Incidence","DE Lower Saxony","Female","Leukaemia","30-59","","","","","","","","","","",6.0,5.5,6.3,6.3,7.0,6.8,6.5,7.2,7.4,5.1,"",
"Incidence","DE Lower Saxony","Female","Leukaemia","0-29","","","","","","","","","","",2.8,1.8,3.2,2.5,2.7,2.8,3.0,2.8,3.9,2.5,"",
"Incidence","DE Lower Saxony","Female","Thyroid gland","60+","","","","","","","","","","",12.6,9.2,11.6,11.3,12.0,9.6,12.4,10.9,10.9,9.9,"",
"Incidence","DE Lower Saxony","Female","Thyroid gland","30-59","","","","","","","","","","",7.9,9.3,8.5,9.9,11.3,12.6,12.0,13.0,10.7,12.5,"",
"Incidence","DE Lower Saxony","Female","Thyroid gland","0-29","","","","","","","","","","",1.3,1.0,1.7,2.1,2.5,3.6,2.4,2.7,3.9,3.0,"",
"Incidence","DE Lower Saxony","Female","Melanoma of the skin","60+","","","","","","","","","","",39.8,37.4,38.9,40.1,42.5,44.8,49.0,47.3,51.0,45.8,"",
"Incidence","DE Lower Saxony","Female","Melanoma of the skin","30-59","","","","","","","","","","",25.4,21.3,23.2,23.4,26.1,31.0,31.9,32.5,33.0,28.9,"",
"Incidence","DE Lower Saxony","Female","Melanoma of the skin","0-29","","","","","","","","","","",5.3,4.4,5.2,5.0,4.7,6.8,6.2,9.1,5.4,6.1,"",
"Incidence","DE Lower Saxony","Female","Lung","60+","","","","","","","","","","",85.4,82.5,92.3,100.1,98.2,104.2,107.8,109.5,108.7,115.8,"",
"Incidence","DE Lower Saxony","Female","Lung","30-59","","","","","","","","","","",20.7,21.2,21.3,23.1,23.9,24.7,23.6,23.9,28.5,28.9,"",
